#TAG,PACKAGE NAME(or repo name or git url),TERMINAL,DESCRIPTION
,neovim,Y,一款高效的文本编辑器(VIM的升级版)
,xorg,N,用于linux图形化界面
,xorg-server,N,用于linux图形化界面
,xorg-xinit,N,用于linux图形化界面
,openvpn,N,一款用于创建虚拟私人网络加密通道的软件包
,starship,Y,一款用于定制、美化终端以及shell提示符工具
,wget,Y,一款从网络上自动下载文件的自由工具
,zip,Y,压缩工具
,unzip,Y,压缩工具
,ripgrep,Y,一款面向行的搜索命令行工具(优于grep)
,fd,Y,一款强大的文件搜索命令行工具
,fzf,Y,一款通用的命令行模糊查找器(查找文件)
,cmake,Y,c/c++编译管理器工具
,ccls,Y,c/c++代码语言服务器(用于代码自动补全)
,htop,Y,进程查看器
,benchmark,Y,基准测试工具
,man-pages,Y,linux用户帮助手册
,go,Y,
,lua,Y,
,luarocks,Y,lua包管理器
,nodejs,N,
,npm,N,
,python,Y,
,python-pip,Y,
,websocketd,Y,一款简单的快速创建websocket服务器的命令行工具
,lf,Y,一款终端文件管理器(类似的有ranger)
,feh,N,一款轻巧而功能强大的图像查看器
,picom,N,一款独立的Xorg 合成器(用于调节窗口透明度和阴影效果)
,libnotify,N,一个用于发送和接收桌面通知的开源库
,dunst,N,一个轻量级的通知守护程序，通常与Linux系统一起使用，用于显示通知
,bat,Y,一种具有语法高亮和git集成的cat类命令行
,mediainfo,N,用于显示媒体文件相关的技术信息，以及许多音频和视频文件的标签信息
,ffmpeg,N,功能强大的音视频处理器
,ffmpegthumbnailer,N,用来从视频文件中截取缩略图
,imagemagick,N,一款创建、编辑、合成、转换图像的命令行工具
,calcurse,N,包含了日历、一个待办事项管理、一个调度程序和一个可配置的通知系统
,exiv2,N,读取图形属性以及详细信息的命令行工具
,sxiv,N,快速、轻量级的图像查看器
,xclip,N,实现终端与剪贴板之间的通道
,gimp,N,一款功能强大的图像编辑软件
,zathura,N,支持类似vi 键位的PDF 阅读器
,zathura-pdf-mupdf,N,zathura插件
,obs-studio,N,一款开源且免费的跨平台软件，广泛用于视频录制和直播
,mpv,N,一个开源的视频播放器
,noto-fonts,Y,noto字体
,noto-fonts-emoji,Y,一款开源的Unicode表情符号库
,ttf-font-awesome,Y,一款非常实用的图标字体库
,pipewire,N,一款Linux系统上的用来处理音视频的底层多媒体框架(替代PulseAudio)
,pamixer,N,PulseAudio 命令行混音器(控制pulseaudio音量)
,pulseaudio,N,是一种通用的声音服务器，旨在使用ALSA 或OSS 作为应用程序和硬件设备之间的中间件运行
,pulsemixer,N,CLI和curses混合器
,python-pywal,N,可以从图片中提取主题颜色，并将这些颜色应用到终端、桌面环境以及其他应用程序中，从而实现统一的配色效果
,ueberzug,N,可用于图片预览(与lf工具结合)
,bmon,Y,一款强大的网络带宽监视和调试工具
,yt-dlp,Y,一款用于下载YouTube、Bilibili、SoundCloud 等平台资源的命令行工具
,lynx,Y,是个纯文字网页浏览器，是在具有高亮文字功能的终端上使用的
,net-tools,Y,网络工具集
,brave-bin,N,一款牛叉的浏览器
,alsa-utils,N,是alsa的一个工具包(包含有声卡测试和音频编辑)
,figlet,Y,一款文字转字符图案的终端工具
,neofetch,N,一款显示带有发行徽标的Linux系统信息的终端工具
,v2ray,N,代理工具
,ventoy-bin,N,一款用于制作系统U盘启动工具
A,yesplaymusic,N,一款开源的网易云免费音乐播放器
Y,zsh-fast-syntax-highlighting,N,zsh高亮语法显示插件
Y,lolcat,Y,一个在Linux 终端中输出彩虹特效的命令行工具
G,https://github.com/neverwaiting/dwm.git,N,窗口管理器
G,https://github.com/neverwaiting/dwmblocks.git,N,一个轻量级的状态栏构建工具
G,https://github.com/neverwaiting/dmenu.git,N,搜索菜单工具
G,https://github.com/neverwaiting/st.git,N,用于Xorg 上的终端实现
G,https://github.com/neverwaiting/slock.git,N,锁屏工具
